BTC_ADDRESS,CONTRIBUTION_AMOUNT,BLOCK_HASH,POLKADOT_ADDRESS
12iakpVaai3rWgzR3JFuwjLkgx18yPWnHf,65400000,4ff50c87db626c6412c0eb0f43e2180d63441bff7c2ffb452fda063e77c8f789,12gWN54Co7fwYy6TQ8gRJbNv8s855NC3dxkuXhTyVY9uaw3e
1FhCFMdnrpDDTJDbQ7SoEpo52jPWEDHda9,5600000000,d068748f12c4139c6b264d1bde08f422763fb5bb1cfcdfcdeb47e4ccd292c9a1,145TfMd6iGg2aMxosq7bSSf1duGRnFrFBXnu8xTmLqujn7Cg
1E8dePxhpF4rLLq7gxySDjtiHtLUUTtw47,69220400,bfa10a6442372f1fc24127d83b3c4256b07973206c70295294d354561e161332,12b98K7UaQsf2qNbcE692qbKEbDN3rVtvjKRkK3ZqoKDtbLL
13Sv1DNNYWQJrEtiKeiZUdLbRoiKEPsrvw,4108500,78a676726aa36af595d13ec8c6c5d7e559150624956e45672156370d05f00234,15iunRw1wuod4DBLwm66h2rnHKocUAuwtWC1XuQuzgzqAfeg
1F6gJJeEF6H3Xamny7FzFqKDiGKuEDGKcA,6500000,0f58f28d9b013e1f2d2033bba3e89986c2c123f6980f5bb0b28d083fc45b70d9,12vD4ck8b6eH99cvweiekGkdfQ22GsRhcCcnaDnFYjV8PM4X
1MvqNk4Wx2kKQrhRaskeNiNZvcmvcMZMmt,2620000,59e558ad63dc41cbe1bcb27207e3904c062140bc1ed213ca82bb7030f85ab137,1ZG3veJ2CZaegLjz5UenteroCEJeSuAqRV3LPC3ifLAriSN
1PGARpTBw2cn59pvEiRb3PfPj9VtMNXqYV,28400000,41dbcf9c4ca99cf50c39556db6897bde073b48d88cc202f7114ca80bc3c9ccd8,1y891ZEj1HURCrwPrD8ES3jun3G6BNEFdN5mbnU5r5AMwRF
1KXJvCeLSXKDpcgrigUoPfRMtyiDK4dzMv,999991004,3070af14c112c70b227d867be8f9877bea7d0f6768e26e596180979ffbb8bdf7,14YTaY4uhuwMfJff2GwefSXh3ffsCmoFhEtRHLHNhpA6yymp
1L6v3z8xTVpxggU7kHnHjruk7xQoFobM64,3199991016,c4a4885ca7653181fc6daf95bff00d6aa99eebdde1deda04e399cdb2f64b68d2,14uYz83ETRHdXqUd64aeDGUe1kYPJnWUiKDMjZzEQMgB8Ur6
16WoyK4ciruqrztyx7HrTfQRtoszcZZaXh,2060000,edfce7833c81ef7a3886c64d676a114bb37d0bdeffcade657ced8d346a6f15da,14W71taDijEpgbwBnYu6wv2pbDaXZLH685Ykeg51uE3dCs75
13SJDurZkwW6Yvg7nC5tjvEkoE6XPhx4SZ,9950000,bb862470e3b212dfef7b520257ec8161bc78710ef81de6c2a7232a62ab2e3915,16Y3185pjM2NU9K9hh4pKXgMn2PLpYYdPJrZNpUqMvxoDPmM
1LDvNFVXNpJkC3aPLoLqAtVnmSK9YdcLZz,12500000,cb565f89257d41c57d3a867ac2de6905f34ca4d35e8717b0fd06d3822935b65b,14wHBBxp2zDdVbn8eaAFkZW8mvPFvGg6eFC6VhRfDohNgMzu
1LnzEVaeazaBJVERjoLzNYTC6dEMKduWRo,1600010,a1bf8aaf14eeda127a77e6cd0c1d073e3c3717392b094351d7433d6164fd7a82,16fnQmaiBi9gjEoTpfahZdtNuashk5Q4PJxFPpGCeko3WSAG
1KAfVziJNK4Arv8NCYVgRqUniPtktFAkVs,25000000,9e82261867e8adb833d1fd2e3cb6abb1655b486631fd43fcdd8d65a813b4091a,1nRsCk2UiNcEQjoQDr2kSyEE9YXaxaBW7As4fapdxqE2zDh
1DJAriosyBThtvNSAMZxtMrLHCkGrYp7ZM,32608376,8b7357fd51aeae8a3bea279534193a7166fcfac58ab698b9a4a93a964d3f2e83,15PjfYNgrUKiuj8nE4xtoTAHaqHDYRirjyNmSzuvyPmdRa65
